time,pid,tag,rss_kb,hwm_kb,swap_kb
07:23:13,237425,batch_c_probe_3_
batch_c_probe_3_,6356,6356,0
07:23:14,237425,batch_c_probe_3_
batch_c_probe_3_,6356,6356,0
07:23:15,237425,batch_c_probe_3_
batch_c_probe_3_,6356,6356,0
07:23:16,237435,batch_c_probe_3_,139048,153408,0
07:23:17,237435,batch_c_probe_3_,139048,153408,0
07:23:18,237435,batch_c_probe_3_,139048,153408,0
07:23:19,237435,batch_c_probe_3_,139048,153408,0
07:23:20,237435,batch_c_probe_3_,139048,153408,0
07:23:21,237435,batch_c_probe_3_,139048,153408,0
07:23:22,237435,batch_c_probe_3_,139048,153408,0
07:23:23,237435,batch_c_probe_3_,139048,153408,0
07:23:24,237435,batch_c_probe_3_,139048,153408,0
07:23:25,237435,batch_c_probe_3_,337340,337340,0
07:23:26,237435,batch_c_probe_3_,683856,683856,0
07:23:27,237435,batch_c_probe_3_,1020796,1020796,0
07:23:28,237435,batch_c_probe_3_,1233612,1233612,0
07:23:29,237435,batch_c_probe_3_,1501308,1501308,0
07:23:30,237435,batch_c_probe_3_,1714528,1714528,0
07:23:31,237435,batch_c_probe_3_,1716168,1716168,0
07:23:32,237435,batch_c_probe_3_,1718672,1718672,0
07:23:33,237435,batch_c_probe_3_,1724384,1724384,0
07:23:34,237435,batch_c_probe_3_,1745560,1745560,0
07:23:35,237435,batch_c_probe_3_,1758604,1758604,0
07:23:36,237435,batch_c_probe_3_,1771660,1771660,0
07:23:37,237435,batch_c_probe_3_,1784348,1784348,0
07:23:38,237435,batch_c_probe_3_,1796648,1796648,0
07:23:39,237435,batch_c_probe_3_,1808768,1808768,0
07:23:40,237435,batch_c_probe_3_,1821124,1821124,0
07:23:41,237435,batch_c_probe_3_,1833440,1833440,0
07:23:42,237435,batch_c_probe_3_,1845732,1845732,0
07:23:43,237435,batch_c_probe_3_,2067004,2198592,0
07:23:44,237435,batch_c_probe_3_,2130816,2198592,0
07:23:45,237435,batch_c_probe_3_,2130816,2198592,0
07:23:46,237435,batch_c_probe_3_,2471944,2471944,0
07:23:47,237435,batch_c_probe_3_,2782764,2782764,0
07:23:48,237435,batch_c_probe_3_,3093832,3093832,0
07:23:49,237435,batch_c_probe_3_,3402984,3402984,0
07:23:50,237435,batch_c_probe_3_,3629304,3629304,0
07:23:51,237435,batch_c_probe_3_,3632032,3632032,0
07:23:52,237435,batch_c_probe_3_,3635252,3635252,0
07:23:53,237435,batch_c_probe_3_,3636928,3636928,0
07:23:54,237435,batch_c_probe_3_,3905624,3992892,0
07:23:55,237435,batch_c_probe_3_,4390104,4390104,0
07:23:56,237435,batch_c_probe_3_,4390136,4390136,0
07:23:57,237435,batch_c_probe_3_,4390136,4390136,0
07:23:58,237435,batch_c_probe_3_,4390136,4390136,0
07:23:59,237435,batch_c_probe_3_,4390136,4390136,0
07:24:00,237435,batch_c_probe_3_,4390136,4390136,0
07:24:01,237435,batch_c_probe_3_,4390136,4390136,0
07:24:02,237435,batch_c_probe_3_,4593500,4593500,0
07:24:03,237435,batch_c_probe_3_,4787480,4787480,0
07:24:04,237435,batch_c_probe_3_,5347532,5347532,0
07:24:05,237435,batch_c_probe_3_,6601172,6601172,0
07:24:07,237435,batch_c_probe_3_,7693676,7796924,0
07:24:08,237435,batch_c_probe_3_,8983752,8983752,0
07:24:09,237435,batch_c_probe_3_,9139276,9139276,0
07:24:10,237435,batch_c_probe_3_,9207956,9899828,0
07:24:11,237435,batch_c_probe_3_,9581012,9899828,0
07:24:12,237435,batch_c_probe_3_,10489816,10489816,0
07:24:13,237435,batch_c_probe_3_,10859524,10859524,0
07:24:14,237435,batch_c_probe_3_,10859524,10859524,0
07:24:15,237435,batch_c_probe_3_,10905324,10905324,0
07:24:16,237435,batch_c_probe_3_,10933392,10986536,0
07:24:17,237435,batch_c_probe_3_,10975472,10986536,0
07:24:18,237435,batch_c_probe_3_,11039284,11124696,0
07:24:19,237435,batch_c_probe_3_,11078148,11124696,0
07:24:20,237435,batch_c_probe_3_,11110940,11124696,0
07:24:21,237435,batch_c_probe_3_,11144964,11144964,0
07:24:22,237435,batch_c_probe_3_,11181280,11381040,0
07:24:23,237435,batch_c_probe_3_,11235896,11381040,0
07:24:24,237435,batch_c_probe_3_,9459768,11381040,0
07:24:25,237435,batch_c_probe_3_,9826164,11381040,0
07:24:26,237435,batch_c_probe_3_,10406312,11381040,0
07:24:27,237435,batch_c_probe_3_,11423680,11423680,0
07:24:28,237435,batch_c_probe_3_,12217520,12217520,0
07:24:29,237435,batch_c_probe_3_,13004264,13062784,0
07:24:30,237435,batch_c_probe_3_,13692660,13725252,0
07:24:31,237435,batch_c_probe_3_,14241060,14264424,0
07:24:32,237435,batch_c_probe_3_,14539792,14539792,0
07:24:33,237435,batch_c_probe_3_,14605808,14605808,0
07:24:34,237435,batch_c_probe_3_,14795688,14828496,0
07:24:35,237435,batch_c_probe_3_,14765340,14828496,0
07:24:36,237435,batch_c_probe_3_,13041896,14845292,0
07:24:37,237435,batch_c_probe_3_,11713944,14845292,0
07:24:38,237435,batch_c_probe_3_,11744896,14845292,0
07:24:39,237435,batch_c_probe_3_,11749232,14845292,0
07:24:40,237435,batch_c_probe_3_,11749232,14845292,0
07:24:41,237435,batch_c_probe_3_,11756956,14845292,0
07:24:42,237435,batch_c_probe_3_,11758876,14845292,0
07:24:43,237435,batch_c_probe_3_,11761036,14845292,0
07:24:44,237435,batch_c_probe_3_,11862928,14845292,0
