对照（c_1 空、远端供货）M 收到新件的转移数: 9
{'链长': 1, '远端': 'supply', '起态数': 2, '可达状态数': 2, 'M收到新件的次数': 0}
{'链长': 1, '远端': 'sink', '起态数': 1, '可达状态数': 2, 'M收到新件的次数': 0}
{'链长': 1, '远端': 'none', '起态数': 1, '可达状态数': 1, 'M收到新件的次数': 0}
{'链长': 2, '远端': 'supply', '起态数': 14, '可达状态数': 15, 'M收到新件的次数': 0}
{'链长': 2, '远端': 'sink', '起态数': 10, '可达状态数': 12, 'M收到新件的次数': 0}
{'链长': 2, '远端': 'none', '起态数': 10, '可达状态数': 11, 'M收到新件的次数': 0}
{'链长': 3, '远端': 'supply', '起态数': 98, '可达状态数': 106, 'M收到新件的次数': 0}
{'链长': 3, '远端': 'sink', '起态数': 70, '可达状态数': 77, 'M收到新件的次数': 0}
{'链长': 3, '远端': 'none', '起态数': 70, '可达状态数': 76, 'M收到新件的次数': 0}
{'链长': 4, '远端': 'supply', '起态数': 686, '可达状态数': 743, 'M收到新件的次数': 0}
{'链长': 4, '远端': 'sink', '起态数': 490, '可达状态数': 532, 'M收到新件的次数': 0}
{'链长': 4, '远端': 'none', '起态数': 490, '可达状态数': 531, 'M收到新件的次数': 0}
{'链长': 5, '远端': 'supply', '起态数': 4802, '可达状态数': 5202, 'M收到新件的次数': 0}
{'链长': 5, '远端': 'sink', '起态数': 3430, '可达状态数': 3717, 'M收到新件的次数': 0}
{'链长': 5, '远端': 'none', '起态数': 3430, '可达状态数': 3716, 'M收到新件的次数': 0}
全部不能收到新件: True
