20 0.0 {'矩形离带': 20}
40 0.0 {'矩形离带': 40}
60 0.0 {'矩形离带': 60}
80 0.0 {'矩形离带': 76, '矿石走廊长度': 4}
100 7.42 {'矩形离带': 80, '矿石走廊长度': 14, 'INFEASIBLE': 6}
120 19.35 {'矩形离带': 84, '矿石走廊长度': 14, 'INFEASIBLE': 21, '矿石走廊端口数': 1}
140 31.19 {'矩形离带': 88, '矿石走廊长度': 14, 'INFEASIBLE': 36, '矿石走廊端口数': 2}
160 44.17 {'矩形离带': 92, '矿石走廊长度': 14, 'INFEASIBLE': 52, '矿石走廊端口数': 2}
180 54.58 {'矩形离带': 96, '矿石走廊长度': 14, 'INFEASIBLE': 67, '矿石走廊端口数': 3}
200 65.31 {'矩形离带': 102, '矿石走廊长度': 14, 'INFEASIBLE': 80, '矿石走廊端口数': 4}
220 84.31 {'矩形离带': 108, '矿石走廊长度': 14, 'INFEASIBLE': 94, '矿石走廊端口数': 4}
240 108.07 {'矩形离带': 112, '矿石走廊长度': 14, 'INFEASIBLE': 108, '矿石走廊端口数': 6}
260 127.36 {'矩形离带': 116, '矿石走廊长度': 14, 'INFEASIBLE': 124, '矿石走廊端口数': 6}
280 151.43 {'矩形离带': 120, '矿石走廊长度': 14, 'INFEASIBLE': 139, '矿石走廊端口数': 7}
300 184.95 {'矩形离带': 124, '矿石走廊长度': 14, 'INFEASIBLE': 154, '矿石走廊端口数': 8}
320 204.05 {'矩形离带': 128, '矿石走廊长度': 14, 'INFEASIBLE': 170, '矿石走廊端口数': 8}
340 227.72 {'矩形离带': 132, '矿石走廊长度': 14, 'INFEASIBLE': 185, '矿石走廊端口数': 9}
360 254.98 {'矩形离带': 136, '矿石走廊长度': 14, 'INFEASIBLE': 200, '矿石走廊端口数': 10}
380 271.65 {'矩形离带': 142, '矿石走廊长度': 14, 'INFEASIBLE': 214, '矿石走廊端口数': 10}
400 282.17 {'矩形离带': 148, '矿石走廊长度': 14, 'INFEASIBLE': 227, '矿石走廊端口数': 11}
420 302.72 {'矩形离带': 152, '矿石走廊长度': 14, 'INFEASIBLE': 242, '矿石走廊端口数': 12}
440 325.69 {'矩形离带': 156, '矿石走廊长度': 14, 'INFEASIBLE': 257, '矿石走廊端口数': 13}
460 354.17 {'矩形离带': 160, '矿石走廊长度': 14, 'INFEASIBLE': 272, '矿石走廊端口数': 14}
480 382.73 {'矩形离带': 164, '矿石走廊长度': 14, 'INFEASIBLE': 288, '矿石走廊端口数': 14}
500 399.21 {'矩形离带': 168, '矿石走廊长度': 14, 'INFEASIBLE': 303, '矿石走廊端口数': 15}
520 425.51 {'矩形离带': 172, '矿石走廊长度': 14, 'INFEASIBLE': 318, '矿石走廊端口数': 16}
540 453.76 {'矩形离带': 176, '矿石走廊长度': 14, 'INFEASIBLE': 334, '矿石走廊端口数': 16}
560 478.48 {'矩形离带': 182, '矿石走廊长度': 14, 'INFEASIBLE': 347, '矿石走廊端口数': 17}
580 493.89 {'矩形离带': 188, '矿石走廊长度': 14, 'INFEASIBLE': 360, '矿石走廊端口数': 18}
600 520.95 {'矩形离带': 192, '矿石走廊长度': 14, 'INFEASIBLE': 375, '矿石走廊端口数': 19}
620 545.19 {'矩形离带': 196, '矿石走廊长度': 14, 'INFEASIBLE': 390, '矿石走廊端口数': 20}
640 570.43 {'矩形离带': 200, '矿石走廊长度': 14, 'INFEASIBLE': 406, '矿石走廊端口数': 20}
660 593.2 {'矩形离带': 204, '矿石走廊长度': 14, 'INFEASIBLE': 421, '矿石走廊端口数': 21}
680 688.23 {'矩形离带': 208, '矿石走廊长度': 14, 'INFEASIBLE': 436, '矿石走廊端口数': 22}
700 719.04 {'矩形离带': 212, '矿石走廊长度': 14, 'INFEASIBLE': 452, '矿石走廊端口数': 22}
720 748.64 {'矩形离带': 216, '矿石走廊长度': 14, 'INFEASIBLE': 467, '矿石走廊端口数': 23}
740 773.89 {'矩形离带': 222, '矿石走廊长度': 14, 'INFEASIBLE': 480, '矿石走廊端口数': 24}
760 829.53 {'矩形离带': 228, '矿石走廊长度': 14, 'INFEASIBLE': 494, '矿石走廊端口数': 24}
780 859.38 {'矩形离带': 232, '矿石走廊长度': 14, 'INFEASIBLE': 508, '矿石走廊端口数': 26}
800 880.94 {'矩形离带': 236, '矿石走廊长度': 14, 'INFEASIBLE': 524, '矿石走廊端口数': 26}
820 891.32 {'矩形离带': 240, '矿石走廊长度': 14, 'INFEASIBLE': 539, '矿石走廊端口数': 27}
840 899.1 {'矩形离带': 244, '矿石走廊长度': 14, 'INFEASIBLE': 554, '矿石走廊端口数': 28}
860 906.36 {'矩形离带': 248, '矿石走廊长度': 14, 'INFEASIBLE': 570, '矿石走廊端口数': 28}
880 912.45 {'矩形离带': 252, '矿石走廊长度': 14, 'INFEASIBLE': 585, '矿石走廊端口数': 29}
900 935.03 {'矩形离带': 256, '矿石走廊长度': 14, 'INFEASIBLE': 596, '矿石走廊端口数': 30, 'OPTIMAL': 4}
FINAL {'矩形离带': 256, '矿石走廊长度': 14, 'INFEASIBLE': 596, '矿石走廊端口数': 30, 'OPTIMAL': 4}
