{'pos': (1, 2), 'n': 270, 'status': 0, 'max': 7, 'dual': 7.000000000000001, 'optimal': True}
{'pos': (1, 3), 'n': 300, 'status': 0, 'max': 8, 'dual': 8.0, 'optimal': True}
{'pos': (1, 4), 'n': 331, 'status': 0, 'max': 9, 'dual': 9.0, 'optimal': True}
{'pos': (1, 5), 'n': 364, 'status': 0, 'max': 10, 'dual': 10.000000000000021, 'optimal': True}
{'pos': (1, 6), 'n': 400, 'status': 0, 'max': 11, 'dual': 11.0, 'optimal': True}
{'pos': (1, 7), 'n': 439, 'status': 0, 'max': 12, 'dual': 12.000000000000012, 'optimal': True}
{'pos': (1, 8), 'n': 478, 'status': 0, 'max': 12, 'dual': 12.0, 'optimal': True}
{'pos': (1, 9), 'n': 511, 'status': 0, 'max': 13, 'dual': 12.999999999999993, 'optimal': True}
{'pos': (1, 10), 'n': 537, 'status': 0, 'max': 13, 'dual': 13.0, 'optimal': True}
{'pos': (1, 11), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 12), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 13), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 14), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 15), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 16), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 17), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 18), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 19), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 20), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 21), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 22), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 23), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 24), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 25), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 26), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 27), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 28), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 29), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 30), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 31), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 32), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 33), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 34), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 35), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 36), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 37), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 38), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 39), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 40), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 41), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 42), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 43), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
{'pos': (1, 44), 'n': 550, 'status': 0, 'max': 13, 'dual': 13.000000000000053, 'optimal': True}
