机器	配方	计划批每tick	配方用量	计划进料件每tick	归一化批每tick	进料各端口	每tick实际到达构成	多料同步	同源标记
M120	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C079:砂叶粉末=1(M058); C249:蓝铁粉末=1(M018); C282:蓝铁粉末=1(M051)	待验	待验	待验
M121	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C080:砂叶粉末=1(M058); C250:蓝铁粉末=1(M019); C281:蓝铁粉末=1(M050)	待验	待验	待验
M122	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C081:砂叶粉末=1(M058); C251:蓝铁粉末=1(M020); C280:蓝铁粉末=1(M049)	待验	待验	待验
M123	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C082:砂叶粉末=1(M059); C252:蓝铁粉末=1(M021); C279:蓝铁粉末=1(M048)	待验	待验	待验
M124	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C083:砂叶粉末=1(M059); C253:蓝铁粉末=1(M022); C278:蓝铁粉末=1(M047)	待验	待验	待验
M125	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C084:砂叶粉末=1(M059); C254:蓝铁粉末=1(M023); C277:蓝铁粉末=1(M046)	待验	待验	待验
M126	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C085:砂叶粉末=1(M060); C255:蓝铁粉末=1(M024); C276:蓝铁粉末=1(M045)	待验	待验	待验
M127	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C086:砂叶粉末=1(M060); C256:蓝铁粉末=1(M025); C275:蓝铁粉末=1(M044)	待验	待验	待验
M128	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C087:砂叶粉末=1(M060); C257:蓝铁粉末=1(M026); C274:蓝铁粉末=1(M043)	待验	待验	待验
M129	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C088:砂叶粉末=1(M061); C258:蓝铁粉末=1(M027); C273:蓝铁粉末=1(M042)	待验	待验	待验
