机器	配方	取货端口数	每批件数	计划平均批间隔	计划各端口速率	计划分类	认证状态
M052	粉碎-荞花	2	2	1	1,1	full_speed_fanout	待验
M053	粉碎-荞花	2	2	1	1,1	full_speed_fanout	待验
M054	粉碎-荞花	2	2	1	1,1	full_speed_fanout	待验
M055	粉碎-荞花	2	2	1	1,1	full_speed_fanout	待验
M056	粉碎-荞花	2	2	1	1,1	full_speed_fanout	待验
M058	粉碎-砂叶	3	3	1	1,1,1	full_speed_fanout	待验
M059	粉碎-砂叶	3	3	1	1,1,1	full_speed_fanout	待验
M060	粉碎-砂叶	3	3	1	1,1,1	full_speed_fanout	待验
M061	粉碎-砂叶	3	3	1	1,1,1	full_speed_fanout	待验
M062	粉碎-砂叶	3	3	1	1,1,1	full_speed_fanout	待验
M063	粉碎-砂叶	3	3	1	1,1,1	full_speed_fanout	待验
M064	粉碎-砂叶	3	3	1	1,1,1	full_speed_fanout	待验
M065	粉碎-砂叶	3	3	1	1,1,1	full_speed_fanout	待验
M066	粉碎-砂叶	3	3	1	1,1,1	full_speed_fanout	待验
M067	粉碎-砂叶	3	3	1	1,1,1	full_speed_fanout	待验
M068	粉碎-砂叶	3	3	2	1/2,1/2,1/2	neither	待验
M174	种植-荞花	2	1	1	1/2,1/2	round_robin_equal	待验
M195	种植-砂叶	2	1	1	1/2,1/2	round_robin_equal	待验
M196	采种-荞花	2	2	1	1,1	full_speed_fanout	待验
M197	采种-荞花	2	2	1	1,1	full_speed_fanout	待验
M198	采种-荞花	2	2	1	1,1	full_speed_fanout	待验
M199	采种-荞花	2	2	1	1,1	full_speed_fanout	待验
M200	采种-荞花	2	2	1	1,1	full_speed_fanout	待验
M202	采种-砂叶	2	2	1	1,1	full_speed_fanout	待验
M203	采种-砂叶	2	2	1	1,1	full_speed_fanout	待验
M204	采种-砂叶	2	2	1	1,1	full_speed_fanout	待验
M205	采种-砂叶	2	2	1	1,1	full_speed_fanout	待验
M206	采种-砂叶	2	2	1	1,1	full_speed_fanout	待验
M207	采种-砂叶	2	2	1	1,1	full_speed_fanout	待验
M208	采种-砂叶	2	2	1	1,1	full_speed_fanout	待验
M209	采种-砂叶	2	2	1	1,1	full_speed_fanout	待验
M210	采种-砂叶	2	2	1	1,1	full_speed_fanout	待验
M211	采种-砂叶	2	2	1	1,1	full_speed_fanout	待验
