where	result	detail
契约/sources	通过	
契约/逻辑记录数	通过	
契约/LF000	通过	
契约/LF001	通过	
契约/LF002	通过	
契约/LF003	通过	
契约/LF004	通过	
契约/LF005	通过	
契约/LF006	通过	
契约/LF007	通过	
契约/LF008	通过	
契约/LF009	通过	
契约/LF010	通过	
契约/LF011	通过	
契约/LF012	通过	
契约/LF013	通过	
契约/LF014	通过	
契约/LF015	通过	
契约/LF016	通过	
契约/LF017	通过	
契约/LF018	通过	
契约/LF019	通过	
契约/LF020	通过	
契约/LF021	通过	
契约/LF022	通过	
契约/LF023	通过	
契约/LF024	通过	
契约/LF025	通过	
契约/LF026	通过	
契约/LF027	通过	
契约/LF028	通过	
契约/LF029	通过	
契约/LF030	通过	
契约/LF031	通过	
契约/LF032	通过	
契约/LF033	通过	
契约/LF034	通过	
契约/LF035	通过	
契约/LF036	通过	
契约/LF037	通过	
契约/LF038	通过	
契约/LF039	通过	
契约/LF040	通过	
契约/LF041	通过	
契约/LF042	通过	
契约/LF043	通过	
契约/LF044	通过	
契约/LF045	通过	
契约/LF046	通过	
契约/LF047	通过	
契约/LF048	通过	
契约/LF049	通过	
契约/LF050	通过	
契约/LF051	通过	
契约/LF052	通过	
契约/LF053	通过	
契约/LF054	通过	
契约/LF055	通过	
契约/LF056	通过	
契约/LF057	通过	
契约/LF058	通过	
契约/LF059	通过	
契约/LF060	通过	
契约/LF061	通过	
契约/LF062	通过	
契约/LF063	通过	
契约/LF064	通过	
契约/LF065	通过	
契约/LF066	通过	
契约/LF067	通过	
契约/LF068	通过	
契约/LF069	通过	
契约/LF070	通过	
契约/LF071	通过	
契约/LF072	通过	
契约/LF073	通过	
契约/LF074	通过	
契约/LF075	通过	
契约/LF076	通过	
契约/LF077	通过	
契约/LF078	通过	
契约/LF079	通过	
契约/LF080	通过	
契约/LF081	通过	
契约/LF082	通过	
契约/LF083	通过	
契约/LF084	通过	
契约/LF085	通过	
契约/LF086	通过	
契约/LF087	通过	
契约/LF088	通过	
契约/LF089	通过	
契约/LF090	通过	
契约/LF091	通过	
契约/LF092	通过	
契约/LF093	通过	
契约/LF094	通过	
契约/LF095	通过	
契约/LF096	通过	
契约/LF097	通过	
契约/LF098	通过	
契约/LF099	通过	
契约/LF100	通过	
契约/LF101	通过	
契约/LF102	通过	
契约/LF103	通过	
契约/LF104	通过	
契约/LF105	通过	
契约/LF106	通过	
契约/LF107	通过	
契约/LF108	通过	
契约/LF109	通过	
契约/LF110	通过	
契约/LF111	通过	
契约/LF112	通过	
契约/LF113	通过	
契约/LF114	通过	
契约/LF115	通过	
契约/LF116	通过	
契约/LF117	通过	
契约/LF118	通过	
契约/LF119	通过	
契约/LF120	通过	
契约/LF121	通过	
契约/LF122	通过	
契约/LF123	通过	
契约/LF124	通过	
契约/LF125	通过	
契约/LF126	通过	
契约/LF127	通过	
契约/LF128	通过	
契约/LF129	通过	
契约/LF130	通过	
契约/LF131	通过	
契约/LF132	通过	
契约/LF133	通过	
契约/LF134	通过	
契约/LF135	通过	
契约/LF136	通过	
契约/LF137	通过	
契约/LF138	通过	
契约/LF139	通过	
契约/LF140	通过	
契约/LF141	通过	
契约/LF142	通过	
契约/LF143	通过	
契约/LF144	通过	
契约/LF145	通过	
契约/LF146	通过	
契约/LF147	通过	
契约/LF148	通过	
契约/LF149	通过	
契约/LF150	通过	
契约/LF151	通过	
契约/LF152	通过	
契约/LF153	通过	
契约/LF154	通过	
契约/LF155	通过	
契约/LF156	通过	
契约/LF157	通过	
契约/LF158	通过	
契约/LF159	通过	
契约/LF160	通过	
契约/LF161	通过	
契约/LF162	通过	
契约/LF163	通过	
契约/LF164	通过	
契约/LF165	通过	
契约/LF166	通过	
契约/LF167	通过	
契约/LF168	通过	
契约/LF169	通过	
契约/LF170	通过	
契约/LF171	通过	
契约/LF172	通过	
契约/LF173	通过	
契约/LF174	通过	
契约/LF175	通过	
契约/LF176	通过	
契约/LF177	通过	
契约/LF178	通过	
契约/LF179	通过	
契约/LF180	通过	
契约/LF181	通过	
契约/LF182	通过	
契约/LF183	通过	
契约/LF184	通过	
契约/LF185	通过	
契约/LF186	通过	
契约/LF187	通过	
契约/LF188	通过	
契约/LF189	通过	
契约/LF190	通过	
契约/LF191	通过	
契约/LF192	通过	
契约/LF193	通过	
契约/LF194	通过	
契约/LF195	通过	
契约/LF196	通过	
契约/LF197	通过	
契约/LF198	通过	
契约/LF199	通过	
契约/LF200	通过	
契约/LF201	通过	
契约/LF202	通过	
契约/LF203	通过	
契约/LF204	通过	
契约/LF205	通过	
契约/LF206	通过	
契约/LF207	通过	
契约/LF208	通过	
契约/LF209	通过	
契约/LF210	通过	
契约/LF211	通过	
契约/LF212	通过	
契约/LF213	通过	
契约/LF214	通过	
契约/LF215	通过	
契约/LF216	通过	
契约/LF217	通过	
契约/LF218	通过	
契约/LF219	通过	
契约/LF220	通过	
契约/LF221	通过	
契约/LF222	通过	
契约/LF223	通过	
契约/LF224	通过	
契约/LF225	通过	
契约/LF226	通过	
契约/LF227	通过	
契约/LF228	通过	
契约/LF229	通过	
契约/LF230	通过	
契约/LF231	通过	
契约/LF232	通过	
契约/LF233	通过	
契约/LF234	通过	
契约/LF235	通过	
契约/LF236	通过	
契约/LF237	通过	
契约/LF238	通过	
契约/LF239	通过	
契约/LF240	通过	
契约/LF241	通过	
契约/LF242	通过	
契约/LF243	通过	
契约/LF244	通过	
契约/LF245	通过	
契约/LF246	通过	
契约/LF247	通过	
契约/LF248	通过	
契约/LF249	通过	
契约/LF250	通过	
契约/LF251	通过	
契约/LF252	通过	
契约/LF253	通过	
契约/LF254	通过	
契约/LF255	通过	
契约/LF256	通过	
契约/LF257	通过	
契约/LF258	通过	
契约/LF259	通过	
契约/LF260	通过	
契约/LF261	通过	
契约/LF262	通过	
契约/LF263	通过	
契约/LF264	通过	
契约/LF265	通过	
契约/LF266	通过	
契约/LF267	通过	
契约/LF268	通过	
契约/LF269	通过	
契约/LF270	通过	
契约/LF271	通过	
契约/LF272	通过	
契约/LF273	通过	
契约/LF274	通过	
契约/LF275	通过	
契约/LF276	通过	
契约/LF277	通过	
契约/LF278	通过	
契约/LF279	通过	
契约/LF280	通过	
契约/LF281	通过	
契约/LF282	通过	
契约/LF283	通过	
契约/LF284	通过	
契约/LF285	通过	
契约/LF286	通过	
契约/LF287	通过	
契约/LF288	通过	
契约/LF289	通过	
契约/LF290	通过	
契约/LF291	通过	
契约/LF292	通过	
契约/LF293	通过	
契约/LF294	通过	
契约/LF295	通过	
契约/LF296	通过	
契约/LF297	通过	
契约/LF298	通过	
契约/LF299	通过	
契约/LF300	通过	
契约/LF301	通过	
契约/LF302	通过	
契约/LF303	通过	
契约/LF304	通过	
契约/LF305	通过	
契约/LF306	通过	
契约/LF307	通过	
契约/LF308	通过	
契约/LF309	通过	
契约/LF310	通过	
契约/LF311	通过	
契约/LF312	通过	
契约/LF313	通过	
契约/LF314	通过	
契约/M000	通过	
契约/M001	通过	
契约/M002	通过	
契约/M003	通过	
契约/M004	通过	
契约/M005	通过	
契约/M006	通过	
契约/M007	通过	
契约/M008	通过	
契约/M009	通过	
契约/M010	通过	
契约/M011	通过	
契约/M012	通过	
契约/M013	通过	
契约/M014	通过	
契约/M015	通过	
契约/M016	通过	
契约/M017	通过	
契约/M018	通过	
契约/M019	通过	
契约/M020	通过	
契约/M021	通过	
契约/M022	通过	
契约/M023	通过	
契约/M024	通过	
契约/M025	通过	
契约/M026	通过	
契约/M027	通过	
契约/M028	通过	
契约/M029	通过	
契约/M030	通过	
契约/M031	通过	
契约/M032	通过	
契约/M033	通过	
契约/M034	通过	
契约/M035	通过	
契约/M036	通过	
契约/M037	通过	
契约/M038	通过	
契约/M039	通过	
契约/M040	通过	
契约/M041	通过	
契约/M042	通过	
契约/M043	通过	
契约/M044	通过	
契约/M045	通过	
契约/M046	通过	
契约/M047	通过	
契约/M048	通过	
契约/M049	通过	
契约/M050	通过	
契约/M051	通过	
契约/M052	通过	
契约/M053	通过	
契约/M054	通过	
契约/M055	通过	
契约/M056	通过	
契约/M057	通过	
契约/M058	通过	
契约/M059	通过	
契约/M060	通过	
契约/M061	通过	
契约/M062	通过	
契约/M063	通过	
契约/M064	通过	
契约/M065	通过	
契约/M066	通过	
契约/M067	通过	
契约/M068	通过	
契约/M069	通过	
契约/M070	通过	
契约/M071	通过	
契约/M072	通过	
契约/M073	通过	
契约/M074	通过	
契约/M075	通过	
契约/M076	通过	
契约/M077	通过	
契约/M078	通过	
契约/M079	通过	
契约/M080	通过	
契约/M081	通过	
契约/M082	通过	
契约/M083	通过	
契约/M084	通过	
契约/M085	通过	
契约/M086	通过	
契约/M087	通过	
契约/M088	通过	
契约/M089	通过	
契约/M090	通过	
契约/M091	通过	
契约/M092	通过	
契约/M093	通过	
契约/M094	通过	
契约/M095	通过	
契约/M096	通过	
契约/M097	通过	
契约/M098	通过	
契约/M099	通过	
契约/M100	通过	
契约/M101	通过	
契约/M102	通过	
契约/M103	通过	
契约/M104	通过	
契约/M105	通过	
契约/M106	通过	
契约/M107	通过	
契约/M108	通过	
契约/M109	通过	
契约/M110	通过	
契约/M111	通过	
契约/M112	通过	
契约/M113	通过	
契约/M114	通过	
契约/M115	通过	
契约/M116	通过	
契约/M117	通过	
契约/M118	通过	
