机器	机型	配方	计划批每tick	计划负载	端口上限	存货端口数	取货端口数	进料各端口	出料各端口	逐机逐物品守恒
M000	粉碎机	粉碎-源矿	1	1	3	1	1	C018:源矿=1(仓库出矿口)	C000:源石粉末=1(M137)	通过
M001	粉碎机	粉碎-源矿	1	1	3	1	1	C019:源矿=1(仓库出矿口)	C001:源石粉末=1(M138)	通过
M002	粉碎机	粉碎-源矿	1	1	3	1	1	C020:源矿=1(仓库出矿口)	C002:源石粉末=1(M139)	通过
M003	粉碎机	粉碎-源矿	1	1	3	1	1	C021:源矿=1(仓库出矿口)	C003:源石粉末=1(M140)	通过
M004	粉碎机	粉碎-源矿	1	1	3	1	1	C022:源矿=1(仓库出矿口)	C004:源石粉末=1(M141)	通过
M005	粉碎机	粉碎-源矿	1	1	3	1	1	C023:源矿=1(仓库出矿口)	C005:源石粉末=1(M142)	通过
M006	粉碎机	粉碎-源矿	1	1	3	1	1	C024:源矿=1(仓库出矿口)	C006:源石粉末=1(M143)	通过
M007	粉碎机	粉碎-源矿	1	1	3	1	1	C025:源矿=1(仓库出矿口)	C007:源石粉末=1(M144)	通过
M008	粉碎机	粉碎-源矿	1	1	3	1	1	C026:源矿=1(仓库出矿口)	C008:源石粉末=1(M145)	通过
M009	粉碎机	粉碎-源矿	1	1	3	1	1	C027:源矿=1(仓库出矿口)	C009:源石粉末=1(M145)	通过
M010	粉碎机	粉碎-源矿	1	1	3	1	1	C028:源矿=1(仓库出矿口)	C010:源石粉末=1(M144)	通过
M011	粉碎机	粉碎-源矿	1	1	3	1	1	C029:源矿=1(仓库出矿口)	C011:源石粉末=1(M143)	通过
M012	粉碎机	粉碎-源矿	1	1	3	1	1	C030:源矿=1(仓库出矿口)	C012:源石粉末=1(M142)	通过
M013	粉碎机	粉碎-源矿	1	1	3	1	1	C031:源矿=1(仓库出矿口)	C013:源石粉末=1(M141)	通过
M014	粉碎机	粉碎-源矿	1	1	3	1	1	C032:源矿=1(仓库出矿口)	C014:源石粉末=1(M140)	通过
M015	粉碎机	粉碎-源矿	1	1	3	1	1	C033:源矿=1(仓库出矿口)	C015:源石粉末=1(M139)	通过
M016	粉碎机	粉碎-源矿	1	1	3	1	1	C034:源矿=1(仓库出矿口)	C016:源石粉末=1(M138)	通过
M017	粉碎机	粉碎-源矿	1	1	3	1	1	C035:源矿=1(仓库出矿口)	C017:源石粉末=1(M137)	通过
M018	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C181:蓝铁块=1(M069)	C249:蓝铁粉末=1(M120)	通过
M019	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C182:蓝铁块=1(M070)	C250:蓝铁粉末=1(M121)	通过
M020	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C183:蓝铁块=1(M071)	C251:蓝铁粉末=1(M122)	通过
M021	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C184:蓝铁块=1(M072)	C252:蓝铁粉末=1(M123)	通过
M022	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C185:蓝铁块=1(M073)	C253:蓝铁粉末=1(M124)	通过
M023	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C186:蓝铁块=1(M074)	C254:蓝铁粉末=1(M125)	通过
M024	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C187:蓝铁块=1(M075)	C255:蓝铁粉末=1(M126)	通过
M025	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C188:蓝铁块=1(M076)	C256:蓝铁粉末=1(M127)	通过
M026	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C189:蓝铁块=1(M077)	C257:蓝铁粉末=1(M128)	通过
M027	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C190:蓝铁块=1(M078)	C258:蓝铁粉末=1(M129)	通过
M028	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C191:蓝铁块=1(M079)	C259:蓝铁粉末=1(M130)	通过
M029	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C192:蓝铁块=1(M080)	C260:蓝铁粉末=1(M131)	通过
M030	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C193:蓝铁块=1(M081)	C261:蓝铁粉末=1(M132)	通过
M031	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C194:蓝铁块=1(M082)	C262:蓝铁粉末=1(M133)	通过
M032	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C195:蓝铁块=1(M083)	C263:蓝铁粉末=1(M134)	通过
M033	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C196:蓝铁块=1(M084)	C264:蓝铁粉末=1(M135)	通过
M034	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C197:蓝铁块=1(M085)	C265:蓝铁粉末=1(M136)	通过
M035	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C198:蓝铁块=1(M086)	C266:蓝铁粉末=1(M136)	通过
M036	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C199:蓝铁块=1(M087)	C267:蓝铁粉末=1(M135)	通过
M037	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C200:蓝铁块=1(M088)	C268:蓝铁粉末=1(M134)	通过
M038	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C201:蓝铁块=1(M089)	C269:蓝铁粉末=1(M133)	通过
M039	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C202:蓝铁块=1(M090)	C270:蓝铁粉末=1(M132)	通过
M040	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C203:蓝铁块=1(M091)	C271:蓝铁粉末=1(M131)	通过
M041	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C204:蓝铁块=1(M092)	C272:蓝铁粉末=1(M130)	通过
M042	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C205:蓝铁块=1(M093)	C273:蓝铁粉末=1(M129)	通过
M043	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C206:蓝铁块=1(M094)	C274:蓝铁粉末=1(M128)	通过
M044	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C207:蓝铁块=1(M095)	C275:蓝铁粉末=1(M127)	通过
M045	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C208:蓝铁块=1(M096)	C276:蓝铁粉末=1(M126)	通过
M046	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C209:蓝铁块=1(M097)	C277:蓝铁粉末=1(M125)	通过
M047	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C210:蓝铁块=1(M098)	C278:蓝铁粉末=1(M124)	通过
M048	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C211:蓝铁块=1(M099)	C279:蓝铁粉末=1(M123)	通过
M049	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C212:蓝铁块=1(M100)	C280:蓝铁粉末=1(M122)	通过
M050	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C213:蓝铁块=1(M101)	C281:蓝铁粉末=1(M121)	通过
M051	粉碎机	粉碎-蓝铁块	1	1	3	1	1	C214:蓝铁块=1(M102)	C282:蓝铁粉末=1(M120)	通过
M052	粉碎机	粉碎-荞花	1	1	3	1	2	C147:荞花=1(M164)	C170:荞花粉末=1(M146); C171:荞花粉末=1(M147)	通过
M053	粉碎机	粉碎-荞花	1	1	3	1	2	C148:荞花=1(M165)	C172:荞花粉末=1(M148); C173:荞花粉末=1(M149)	通过
M054	粉碎机	粉碎-荞花	1	1	3	1	2	C149:荞花=1(M166)	C174:荞花粉末=1(M150); C175:荞花粉末=1(M150)	通过
M055	粉碎机	粉碎-荞花	1	1	3	1	2	C150:荞花=1(M167)	C176:荞花粉末=1(M149); C177:荞花粉末=1(M148)	通过
M056	粉碎机	粉碎-荞花	1	1	3	1	2	C151:荞花=1(M168)	C178:荞花粉末=1(M147); C179:荞花粉末=1(M146)	通过
