原始通道	源	目标	物品	计划件每tick	源配方	目标配方
C000	M000	M137	源石粉末	1	粉碎-源矿	研磨-致密源石
C001	M001	M138	源石粉末	1	粉碎-源矿	研磨-致密源石
C002	M002	M139	源石粉末	1	粉碎-源矿	研磨-致密源石
C003	M003	M140	源石粉末	1	粉碎-源矿	研磨-致密源石
C004	M004	M141	源石粉末	1	粉碎-源矿	研磨-致密源石
C005	M005	M142	源石粉末	1	粉碎-源矿	研磨-致密源石
C006	M006	M143	源石粉末	1	粉碎-源矿	研磨-致密源石
C007	M007	M144	源石粉末	1	粉碎-源矿	研磨-致密源石
C008	M008	M145	源石粉末	1	粉碎-源矿	研磨-致密源石
C009	M009	M145	源石粉末	1	粉碎-源矿	研磨-致密源石
C010	M010	M144	源石粉末	1	粉碎-源矿	研磨-致密源石
C011	M011	M143	源石粉末	1	粉碎-源矿	研磨-致密源石
C012	M012	M142	源石粉末	1	粉碎-源矿	研磨-致密源石
C013	M013	M141	源石粉末	1	粉碎-源矿	研磨-致密源石
C014	M014	M140	源石粉末	1	粉碎-源矿	研磨-致密源石
C015	M015	M139	源石粉末	1	粉碎-源矿	研磨-致密源石
C016	M016	M138	源石粉末	1	粉碎-源矿	研磨-致密源石
C017	M017	M137	源石粉末	1	粉碎-源矿	研磨-致密源石
C018	仓库出矿口	M000	源矿	1		粉碎-源矿
C019	仓库出矿口	M001	源矿	1		粉碎-源矿
C020	仓库出矿口	M002	源矿	1		粉碎-源矿
C021	仓库出矿口	M003	源矿	1		粉碎-源矿
C022	仓库出矿口	M004	源矿	1		粉碎-源矿
C023	仓库出矿口	M005	源矿	1		粉碎-源矿
C024	仓库出矿口	M006	源矿	1		粉碎-源矿
C025	仓库出矿口	M007	源矿	1		粉碎-源矿
C026	仓库出矿口	M008	源矿	1		粉碎-源矿
C027	仓库出矿口	M009	源矿	1		粉碎-源矿
C028	仓库出矿口	M010	源矿	1		粉碎-源矿
C029	仓库出矿口	M011	源矿	1		粉碎-源矿
C030	仓库出矿口	M012	源矿	1		粉碎-源矿
C031	仓库出矿口	M013	源矿	1		粉碎-源矿
C032	仓库出矿口	M014	源矿	1		粉碎-源矿
C033	仓库出矿口	M015	源矿	1		粉碎-源矿
C034	仓库出矿口	M016	源矿	1		粉碎-源矿
C035	仓库出矿口	M017	源矿	1		粉碎-源矿
C036	M175	M058	砂叶	1	种植-砂叶	粉碎-砂叶
C037	M176	M059	砂叶	1	种植-砂叶	粉碎-砂叶
C038	M177	M060	砂叶	1	种植-砂叶	粉碎-砂叶
C039	M178	M061	砂叶	1	种植-砂叶	粉碎-砂叶
C040	M179	M062	砂叶	1	种植-砂叶	粉碎-砂叶
C041	M180	M063	砂叶	1	种植-砂叶	粉碎-砂叶
C042	M181	M064	砂叶	1	种植-砂叶	粉碎-砂叶
C043	M182	M065	砂叶	1	种植-砂叶	粉碎-砂叶
C044	M183	M066	砂叶	1	种植-砂叶	粉碎-砂叶
C045	M184	M067	砂叶	1	种植-砂叶	粉碎-砂叶
C046	M185	M202	砂叶	1	种植-砂叶	采种-砂叶
C047	M186	M203	砂叶	1	种植-砂叶	采种-砂叶
C048	M187	M204	砂叶	1	种植-砂叶	采种-砂叶
C049	M188	M205	砂叶	1	种植-砂叶	采种-砂叶
C050	M189	M206	砂叶	1	种植-砂叶	采种-砂叶
C051	M190	M207	砂叶	1	种植-砂叶	采种-砂叶
C052	M191	M208	砂叶	1	种植-砂叶	采种-砂叶
C053	M192	M209	砂叶	1	种植-砂叶	采种-砂叶
C054	M193	M210	砂叶	1	种植-砂叶	采种-砂叶
C055	M194	M211	砂叶	1	种植-砂叶	采种-砂叶
C056	M195	M068	砂叶	1/2	种植-砂叶	粉碎-砂叶
C057	M195	M212	砂叶	1/2	种植-砂叶	采种-砂叶
C058	M202	M175	砂叶种子	1	采种-砂叶	种植-砂叶
C059	M202	M176	砂叶种子	1	采种-砂叶	种植-砂叶
C060	M203	M177	砂叶种子	1	采种-砂叶	种植-砂叶
C061	M203	M178	砂叶种子	1	采种-砂叶	种植-砂叶
C062	M204	M179	砂叶种子	1	采种-砂叶	种植-砂叶
C063	M204	M180	砂叶种子	1	采种-砂叶	种植-砂叶
C064	M205	M181	砂叶种子	1	采种-砂叶	种植-砂叶
C065	M205	M182	砂叶种子	1	采种-砂叶	种植-砂叶
C066	M206	M183	砂叶种子	1	采种-砂叶	种植-砂叶
C067	M206	M184	砂叶种子	1	采种-砂叶	种植-砂叶
C068	M207	M185	砂叶种子	1	采种-砂叶	种植-砂叶
C069	M207	M186	砂叶种子	1	采种-砂叶	种植-砂叶
C070	M208	M187	砂叶种子	1	采种-砂叶	种植-砂叶
C071	M208	M188	砂叶种子	1	采种-砂叶	种植-砂叶
C072	M209	M189	砂叶种子	1	采种-砂叶	种植-砂叶
C073	M209	M190	砂叶种子	1	采种-砂叶	种植-砂叶
C074	M210	M191	砂叶种子	1	采种-砂叶	种植-砂叶
C075	M210	M192	砂叶种子	1	采种-砂叶	种植-砂叶
C076	M211	M193	砂叶种子	1	采种-砂叶	种植-砂叶
C077	M211	M194	砂叶种子	1	采种-砂叶	种植-砂叶
C078	M212	M195	砂叶种子	1	采种-砂叶	种植-砂叶
C079	M058	M120	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C080	M058	M121	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C081	M058	M122	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C082	M059	M123	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C083	M059	M124	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C084	M059	M125	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C085	M060	M126	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C086	M060	M127	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C087	M060	M128	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C088	M061	M129	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C089	M061	M130	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C090	M061	M131	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C091	M062	M132	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C092	M062	M133	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C093	M062	M134	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C094	M063	M135	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C095	M063	M136	砂叶粉末	1	粉碎-砂叶	研磨-致密蓝铁
C096	M063	M137	砂叶粉末	1	粉碎-砂叶	研磨-致密源石
C097	M064	M138	砂叶粉末	1	粉碎-砂叶	研磨-致密源石
C098	M064	M139	砂叶粉末	1	粉碎-砂叶	研磨-致密源石
C099	M064	M140	砂叶粉末	1	粉碎-砂叶	研磨-致密源石
C100	M065	M141	砂叶粉末	1	粉碎-砂叶	研磨-致密源石
C101	M065	M142	砂叶粉末	1	粉碎-砂叶	研磨-致密源石
C102	M065	M143	砂叶粉末	1	粉碎-砂叶	研磨-致密源石
C103	M066	M144	砂叶粉末	1	粉碎-砂叶	研磨-致密源石
C104	M066	M145	砂叶粉末	1	粉碎-砂叶	研磨-致密源石
C105	M066	M146	砂叶粉末	1	粉碎-砂叶	研磨-细磨荞花
C106	M067	M147	砂叶粉末	1	粉碎-砂叶	研磨-细磨荞花
C107	M067	M148	砂叶粉末	1	粉碎-砂叶	研磨-细磨荞花
C108	M067	M149	砂叶粉末	1	粉碎-砂叶	研磨-细磨荞花
C109	M068	M150	砂叶粉末	1/2	粉碎-砂叶	研磨-细磨荞花
C110	M068	M150	砂叶粉末	1/2	粉碎-砂叶	研磨-细磨荞花
C111	M068	M151	砂叶粉末	1/2	粉碎-砂叶	研磨-细磨荞花
C112	M216	协议核心	精选荞愈胶囊	1/5	灌装-胶囊	
C113	M217	协议核心	精选荞愈胶囊	1/5	灌装-胶囊	
C114	M218	协议核心	精选荞愈胶囊	3/20	灌装-胶囊	
C115	M146	M216	细磨荞花粉末	1	研磨-细磨荞花	灌装-胶囊
C116	M147	M217	细磨荞花粉末	1	研磨-细磨荞花	灌装-胶囊
C117	M148	M218	细磨荞花粉末	1	研磨-细磨荞花	灌装-胶囊
C118	M149	M217	细磨荞花粉末	1	研磨-细磨荞花	灌装-胶囊
C119	M150	M216	细磨荞花粉末	1	研磨-细磨荞花	灌装-胶囊
C120	M151	M218	细磨荞花粉末	1/2	研磨-细磨荞花	灌装-胶囊
C121	M137	M213	致密源石粉末	1	研磨-致密源石	封装-电池
C122	M138	M214	致密源石粉末	1	研磨-致密源石	封装-电池
C123	M139	M215	致密源石粉末	1	研磨-致密源石	封装-电池
C124	M140	M215	致密源石粉末	1	研磨-致密源石	封装-电池
C125	M141	M214	致密源石粉末	1	研磨-致密源石	封装-电池
C126	M142	M213	致密源石粉末	1	研磨-致密源石	封装-电池
C127	M143	M213	致密源石粉末	1	研磨-致密源石	封装-电池
C128	M144	M214	致密源石粉末	1	研磨-致密源石	封装-电池
C129	M145	M215	致密源石粉末	1	研磨-致密源石	封装-电池
C130	M120	M103	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C131	M121	M104	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C132	M122	M105	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C133	M123	M106	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C134	M124	M107	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C135	M125	M108	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C136	M126	M109	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C137	M127	M110	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C138	M128	M111	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C139	M129	M112	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C140	M130	M113	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C141	M131	M114	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C142	M132	M115	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C143	M133	M116	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C144	M134	M117	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C145	M135	M118	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C146	M136	M119	致密蓝铁粉末	1	研磨-致密蓝铁	精炼-致密蓝铁
C147	M164	M052	荞花	1	种植-荞花	粉碎-荞花
C148	M165	M053	荞花	1	种植-荞花	粉碎-荞花
C149	M166	M054	荞花	1	种植-荞花	粉碎-荞花
C150	M167	M055	荞花	1	种植-荞花	粉碎-荞花
C151	M168	M056	荞花	1	种植-荞花	粉碎-荞花
C152	M169	M196	荞花	1	种植-荞花	采种-荞花
C153	M170	M197	荞花	1	种植-荞花	采种-荞花
C154	M171	M198	荞花	1	种植-荞花	采种-荞花
C155	M172	M199	荞花	1	种植-荞花	采种-荞花
C156	M173	M200	荞花	1	种植-荞花	采种-荞花
C157	M174	M057	荞花	1/2	种植-荞花	粉碎-荞花
C158	M174	M201	荞花	1/2	种植-荞花	采种-荞花
C159	M196	M164	荞花种子	1	采种-荞花	种植-荞花
C160	M196	M165	荞花种子	1	采种-荞花	种植-荞花
C161	M197	M166	荞花种子	1	采种-荞花	种植-荞花
C162	M197	M167	荞花种子	1	采种-荞花	种植-荞花
C163	M198	M168	荞花种子	1	采种-荞花	种植-荞花
C164	M198	M169	荞花种子	1	采种-荞花	种植-荞花
C165	M199	M170	荞花种子	1	采种-荞花	种植-荞花
C166	M199	M171	荞花种子	1	采种-荞花	种植-荞花
C167	M200	M172	荞花种子	1	采种-荞花	种植-荞花
C168	M200	M173	荞花种子	1	采种-荞花	种植-荞花
C169	M201	M174	荞花种子	1	采种-荞花	种植-荞花
C170	M052	M146	荞花粉末	1	粉碎-荞花	研磨-细磨荞花
C171	M052	M147	荞花粉末	1	粉碎-荞花	研磨-细磨荞花
C172	M053	M148	荞花粉末	1	粉碎-荞花	研磨-细磨荞花
C173	M053	M149	荞花粉末	1	粉碎-荞花	研磨-细磨荞花
C174	M054	M150	荞花粉末	1	粉碎-荞花	研磨-细磨荞花
C175	M054	M150	荞花粉末	1	粉碎-荞花	研磨-细磨荞花
C176	M055	M149	荞花粉末	1	粉碎-荞花	研磨-细磨荞花
C177	M055	M148	荞花粉末	1	粉碎-荞花	研磨-细磨荞花
C178	M056	M147	荞花粉末	1	粉碎-荞花	研磨-细磨荞花
C179	M056	M146	荞花粉末	1	粉碎-荞花	研磨-细磨荞花
C180	M057	M151	荞花粉末	1	粉碎-荞花	研磨-细磨荞花
C181	M069	M018	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C182	M070	M019	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C183	M071	M020	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C184	M072	M021	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C185	M073	M022	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C186	M074	M023	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C187	M075	M024	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C188	M076	M025	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C189	M077	M026	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C190	M078	M027	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C191	M079	M028	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C192	M080	M029	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C193	M081	M030	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C194	M082	M031	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C195	M083	M032	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C196	M084	M033	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C197	M085	M034	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C198	M086	M035	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C199	M087	M036	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C200	M088	M037	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C201	M089	M038	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C202	M090	M039	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C203	M091	M040	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C204	M092	M041	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C205	M093	M042	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C206	M094	M043	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C207	M095	M044	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C208	M096	M045	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C209	M097	M046	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C210	M098	M047	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C211	M099	M048	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C212	M100	M049	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C213	M101	M050	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
C214	M102	M051	蓝铁块	1	精炼-蓝铁矿	粉碎-蓝铁块
