机器	配方	计划批次每tick	每批用量	计划平均进料每tick	各存口	源机器集合	逐tick实际构成	多料同步	同源运行标记
M120	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C079"", ""原始行"": 81, ""源"": ""M058"", ""目标"": ""M120"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C249"", ""原始行"": 251, ""源"": ""M018"", ""目标"": ""M120"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C282"", ""原始行"": 284, ""源"": ""M051"", ""目标"": ""M120"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M018"", ""M051"", ""M058""]"	待验	待验	待验
M121	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C080"", ""原始行"": 82, ""源"": ""M058"", ""目标"": ""M121"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C250"", ""原始行"": 252, ""源"": ""M019"", ""目标"": ""M121"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C281"", ""原始行"": 283, ""源"": ""M050"", ""目标"": ""M121"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M019"", ""M050"", ""M058""]"	待验	待验	待验
M122	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C081"", ""原始行"": 83, ""源"": ""M058"", ""目标"": ""M122"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C251"", ""原始行"": 253, ""源"": ""M020"", ""目标"": ""M122"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C280"", ""原始行"": 282, ""源"": ""M049"", ""目标"": ""M122"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M020"", ""M049"", ""M058""]"	待验	待验	待验
M123	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C082"", ""原始行"": 84, ""源"": ""M059"", ""目标"": ""M123"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C252"", ""原始行"": 254, ""源"": ""M021"", ""目标"": ""M123"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C279"", ""原始行"": 281, ""源"": ""M048"", ""目标"": ""M123"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M021"", ""M048"", ""M059""]"	待验	待验	待验
M124	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C083"", ""原始行"": 85, ""源"": ""M059"", ""目标"": ""M124"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C253"", ""原始行"": 255, ""源"": ""M022"", ""目标"": ""M124"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C278"", ""原始行"": 280, ""源"": ""M047"", ""目标"": ""M124"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M022"", ""M047"", ""M059""]"	待验	待验	待验
M125	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C084"", ""原始行"": 86, ""源"": ""M059"", ""目标"": ""M125"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C254"", ""原始行"": 256, ""源"": ""M023"", ""目标"": ""M125"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C277"", ""原始行"": 279, ""源"": ""M046"", ""目标"": ""M125"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M023"", ""M046"", ""M059""]"	待验	待验	待验
M126	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C085"", ""原始行"": 87, ""源"": ""M060"", ""目标"": ""M126"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C255"", ""原始行"": 257, ""源"": ""M024"", ""目标"": ""M126"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C276"", ""原始行"": 278, ""源"": ""M045"", ""目标"": ""M126"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M024"", ""M045"", ""M060""]"	待验	待验	待验
M127	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C086"", ""原始行"": 88, ""源"": ""M060"", ""目标"": ""M127"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C256"", ""原始行"": 258, ""源"": ""M025"", ""目标"": ""M127"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C275"", ""原始行"": 277, ""源"": ""M044"", ""目标"": ""M127"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M025"", ""M044"", ""M060""]"	待验	待验	待验
M128	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C087"", ""原始行"": 89, ""源"": ""M060"", ""目标"": ""M128"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C257"", ""原始行"": 259, ""源"": ""M026"", ""目标"": ""M128"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C274"", ""原始行"": 276, ""源"": ""M043"", ""目标"": ""M128"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M026"", ""M043"", ""M060""]"	待验	待验	待验
M129	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C088"", ""原始行"": 90, ""源"": ""M061"", ""目标"": ""M129"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C258"", ""原始行"": 260, ""源"": ""M027"", ""目标"": ""M129"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C273"", ""原始行"": 275, ""源"": ""M042"", ""目标"": ""M129"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M027"", ""M042"", ""M061""]"	待验	待验	待验
