机器	配方	物品	k	每批件数	每端口计划每tick	计划平均批间隔	计划分类	认证状态
M052	粉碎-荞花	荞花粉末	2	2	1	1	满速扇出定则型	待验
M053	粉碎-荞花	荞花粉末	2	2	1	1	满速扇出定则型	待验
M054	粉碎-荞花	荞花粉末	2	2	1	1	满速扇出定则型	待验
M055	粉碎-荞花	荞花粉末	2	2	1	1	满速扇出定则型	待验
M056	粉碎-荞花	荞花粉末	2	2	1	1	满速扇出定则型	待验
M058	粉碎-砂叶	砂叶粉末	3	3	1	1	满速扇出定则型	待验
M059	粉碎-砂叶	砂叶粉末	3	3	1	1	满速扇出定则型	待验
M060	粉碎-砂叶	砂叶粉末	3	3	1	1	满速扇出定则型	待验
M061	粉碎-砂叶	砂叶粉末	3	3	1	1	满速扇出定则型	待验
M062	粉碎-砂叶	砂叶粉末	3	3	1	1	满速扇出定则型	待验
M063	粉碎-砂叶	砂叶粉末	3	3	1	1	满速扇出定则型	待验
M064	粉碎-砂叶	砂叶粉末	3	3	1	1	满速扇出定则型	待验
M065	粉碎-砂叶	砂叶粉末	3	3	1	1	满速扇出定则型	待验
M066	粉碎-砂叶	砂叶粉末	3	3	1	1	满速扇出定则型	待验
M067	粉碎-砂叶	砂叶粉末	3	3	1	1	满速扇出定则型	待验
M068	粉碎-砂叶	砂叶粉末	3	3	1/2	2	两者都不落	待验
M174	种植-荞花	荞花	2	1	1/2	1	轮询均分型	待验
M195	种植-砂叶	砂叶	2	1	1/2	1	轮询均分型	待验
M196	采种-荞花	荞花种子	2	2	1	1	满速扇出定则型	待验
M197	采种-荞花	荞花种子	2	2	1	1	满速扇出定则型	待验
M198	采种-荞花	荞花种子	2	2	1	1	满速扇出定则型	待验
M199	采种-荞花	荞花种子	2	2	1	1	满速扇出定则型	待验
M200	采种-荞花	荞花种子	2	2	1	1	满速扇出定则型	待验
M202	采种-砂叶	砂叶种子	2	2	1	1	满速扇出定则型	待验
M203	采种-砂叶	砂叶种子	2	2	1	1	满速扇出定则型	待验
M204	采种-砂叶	砂叶种子	2	2	1	1	满速扇出定则型	待验
M205	采种-砂叶	砂叶种子	2	2	1	1	满速扇出定则型	待验
M206	采种-砂叶	砂叶种子	2	2	1	1	满速扇出定则型	待验
M207	采种-砂叶	砂叶种子	2	2	1	1	满速扇出定则型	待验
M208	采种-砂叶	砂叶种子	2	2	1	1	满速扇出定则型	待验
M209	采种-砂叶	砂叶种子	2	2	1	1	满速扇出定则型	待验
M210	采种-砂叶	砂叶种子	2	2	1	1	满速扇出定则型	待验
M211	采种-砂叶	砂叶种子	2	2	1	1	满速扇出定则型	待验
