通道id,源机器id,源机型,源配方,物品,件每20tick,目标机器id,目标机型,目标配方,是否满速
C000,M000,3x3,粉碎-源矿,源石粉末,20,M137,6x4,研磨-致密源石,是
C001,M001,3x3,粉碎-源矿,源石粉末,20,M138,6x4,研磨-致密源石,是
C002,M002,3x3,粉碎-源矿,源石粉末,20,M139,6x4,研磨-致密源石,是
C003,M003,3x3,粉碎-源矿,源石粉末,20,M140,6x4,研磨-致密源石,是
C004,M004,3x3,粉碎-源矿,源石粉末,20,M141,6x4,研磨-致密源石,是
C005,M005,3x3,粉碎-源矿,源石粉末,20,M142,6x4,研磨-致密源石,是
C006,M006,3x3,粉碎-源矿,源石粉末,20,M143,6x4,研磨-致密源石,是
C007,M007,3x3,粉碎-源矿,源石粉末,20,M144,6x4,研磨-致密源石,是
C008,M008,3x3,粉碎-源矿,源石粉末,20,M145,6x4,研磨-致密源石,是
C009,M009,3x3,粉碎-源矿,源石粉末,20,M145,6x4,研磨-致密源石,是
C010,M010,3x3,粉碎-源矿,源石粉末,20,M144,6x4,研磨-致密源石,是
C011,M011,3x3,粉碎-源矿,源石粉末,20,M143,6x4,研磨-致密源石,是
C012,M012,3x3,粉碎-源矿,源石粉末,20,M142,6x4,研磨-致密源石,是
C013,M013,3x3,粉碎-源矿,源石粉末,20,M141,6x4,研磨-致密源石,是
C014,M014,3x3,粉碎-源矿,源石粉末,20,M140,6x4,研磨-致密源石,是
C015,M015,3x3,粉碎-源矿,源石粉末,20,M139,6x4,研磨-致密源石,是
C016,M016,3x3,粉碎-源矿,源石粉末,20,M138,6x4,研磨-致密源石,是
C017,M017,3x3,粉碎-源矿,源石粉末,20,M137,6x4,研磨-致密源石,是
C018,仓库出矿口,,,源矿,20,M000,3x3,粉碎-源矿,是
C019,仓库出矿口,,,源矿,20,M001,3x3,粉碎-源矿,是
C020,仓库出矿口,,,源矿,20,M002,3x3,粉碎-源矿,是
C021,仓库出矿口,,,源矿,20,M003,3x3,粉碎-源矿,是
C022,仓库出矿口,,,源矿,20,M004,3x3,粉碎-源矿,是
C023,仓库出矿口,,,源矿,20,M005,3x3,粉碎-源矿,是
C024,仓库出矿口,,,源矿,20,M006,3x3,粉碎-源矿,是
C025,仓库出矿口,,,源矿,20,M007,3x3,粉碎-源矿,是
C026,仓库出矿口,,,源矿,20,M008,3x3,粉碎-源矿,是
C027,仓库出矿口,,,源矿,20,M009,3x3,粉碎-源矿,是
C028,仓库出矿口,,,源矿,20,M010,3x3,粉碎-源矿,是
C029,仓库出矿口,,,源矿,20,M011,3x3,粉碎-源矿,是
C030,仓库出矿口,,,源矿,20,M012,3x3,粉碎-源矿,是
C031,仓库出矿口,,,源矿,20,M013,3x3,粉碎-源矿,是
C032,仓库出矿口,,,源矿,20,M014,3x3,粉碎-源矿,是
C033,仓库出矿口,,,源矿,20,M015,3x3,粉碎-源矿,是
C034,仓库出矿口,,,源矿,20,M016,3x3,粉碎-源矿,是
C035,仓库出矿口,,,源矿,20,M017,3x3,粉碎-源矿,是
C036,M175,5x5,种植-砂叶,砂叶,20,M058,3x3,粉碎-砂叶,是
C037,M176,5x5,种植-砂叶,砂叶,20,M059,3x3,粉碎-砂叶,是
C038,M177,5x5,种植-砂叶,砂叶,20,M060,3x3,粉碎-砂叶,是
C039,M178,5x5,种植-砂叶,砂叶,20,M061,3x3,粉碎-砂叶,是
C040,M179,5x5,种植-砂叶,砂叶,20,M062,3x3,粉碎-砂叶,是
C041,M180,5x5,种植-砂叶,砂叶,20,M063,3x3,粉碎-砂叶,是
C042,M181,5x5,种植-砂叶,砂叶,20,M064,3x3,粉碎-砂叶,是
C043,M182,5x5,种植-砂叶,砂叶,20,M065,3x3,粉碎-砂叶,是
C044,M183,5x5,种植-砂叶,砂叶,20,M066,3x3,粉碎-砂叶,是
C045,M184,5x5,种植-砂叶,砂叶,20,M067,3x3,粉碎-砂叶,是
C046,M185,5x5,种植-砂叶,砂叶,20,M202,5x5,采种-砂叶,是
C047,M186,5x5,种植-砂叶,砂叶,20,M203,5x5,采种-砂叶,是
C048,M187,5x5,种植-砂叶,砂叶,20,M204,5x5,采种-砂叶,是
C049,M188,5x5,种植-砂叶,砂叶,20,M205,5x5,采种-砂叶,是
C050,M189,5x5,种植-砂叶,砂叶,20,M206,5x5,采种-砂叶,是
C051,M190,5x5,种植-砂叶,砂叶,20,M207,5x5,采种-砂叶,是
C052,M191,5x5,种植-砂叶,砂叶,20,M208,5x5,采种-砂叶,是
C053,M192,5x5,种植-砂叶,砂叶,20,M209,5x5,采种-砂叶,是
C054,M193,5x5,种植-砂叶,砂叶,20,M210,5x5,采种-砂叶,是
C055,M194,5x5,种植-砂叶,砂叶,20,M211,5x5,采种-砂叶,是
C056,M195,5x5,种植-砂叶,砂叶,10,M068,3x3,粉碎-砂叶,否
C057,M195,5x5,种植-砂叶,砂叶,10,M212,5x5,采种-砂叶,否
C058,M202,5x5,采种-砂叶,砂叶种子,20,M175,5x5,种植-砂叶,是
C059,M202,5x5,采种-砂叶,砂叶种子,20,M176,5x5,种植-砂叶,是
C060,M203,5x5,采种-砂叶,砂叶种子,20,M177,5x5,种植-砂叶,是
C061,M203,5x5,采种-砂叶,砂叶种子,20,M178,5x5,种植-砂叶,是
C062,M204,5x5,采种-砂叶,砂叶种子,20,M179,5x5,种植-砂叶,是
C063,M204,5x5,采种-砂叶,砂叶种子,20,M180,5x5,种植-砂叶,是
C064,M205,5x5,采种-砂叶,砂叶种子,20,M181,5x5,种植-砂叶,是
C065,M205,5x5,采种-砂叶,砂叶种子,20,M182,5x5,种植-砂叶,是
C066,M206,5x5,采种-砂叶,砂叶种子,20,M183,5x5,种植-砂叶,是
C067,M206,5x5,采种-砂叶,砂叶种子,20,M184,5x5,种植-砂叶,是
C068,M207,5x5,采种-砂叶,砂叶种子,20,M185,5x5,种植-砂叶,是
C069,M207,5x5,采种-砂叶,砂叶种子,20,M186,5x5,种植-砂叶,是
C070,M208,5x5,采种-砂叶,砂叶种子,20,M187,5x5,种植-砂叶,是
C071,M208,5x5,采种-砂叶,砂叶种子,20,M188,5x5,种植-砂叶,是
C072,M209,5x5,采种-砂叶,砂叶种子,20,M189,5x5,种植-砂叶,是
C073,M209,5x5,采种-砂叶,砂叶种子,20,M190,5x5,种植-砂叶,是
C074,M210,5x5,采种-砂叶,砂叶种子,20,M191,5x5,种植-砂叶,是
C075,M210,5x5,采种-砂叶,砂叶种子,20,M192,5x5,种植-砂叶,是
C076,M211,5x5,采种-砂叶,砂叶种子,20,M193,5x5,种植-砂叶,是
C077,M211,5x5,采种-砂叶,砂叶种子,20,M194,5x5,种植-砂叶,是
C078,M212,5x5,采种-砂叶,砂叶种子,20,M195,5x5,种植-砂叶,是
C079,M058,3x3,粉碎-砂叶,砂叶粉末,20,M120,6x4,研磨-致密蓝铁,是
C080,M058,3x3,粉碎-砂叶,砂叶粉末,20,M121,6x4,研磨-致密蓝铁,是
C081,M058,3x3,粉碎-砂叶,砂叶粉末,20,M122,6x4,研磨-致密蓝铁,是
C082,M059,3x3,粉碎-砂叶,砂叶粉末,20,M123,6x4,研磨-致密蓝铁,是
C083,M059,3x3,粉碎-砂叶,砂叶粉末,20,M124,6x4,研磨-致密蓝铁,是
C084,M059,3x3,粉碎-砂叶,砂叶粉末,20,M125,6x4,研磨-致密蓝铁,是
C085,M060,3x3,粉碎-砂叶,砂叶粉末,20,M126,6x4,研磨-致密蓝铁,是
C086,M060,3x3,粉碎-砂叶,砂叶粉末,20,M127,6x4,研磨-致密蓝铁,是
C087,M060,3x3,粉碎-砂叶,砂叶粉末,20,M128,6x4,研磨-致密蓝铁,是
C088,M061,3x3,粉碎-砂叶,砂叶粉末,20,M129,6x4,研磨-致密蓝铁,是
C089,M061,3x3,粉碎-砂叶,砂叶粉末,20,M130,6x4,研磨-致密蓝铁,是
C090,M061,3x3,粉碎-砂叶,砂叶粉末,20,M131,6x4,研磨-致密蓝铁,是
C091,M062,3x3,粉碎-砂叶,砂叶粉末,20,M132,6x4,研磨-致密蓝铁,是
C092,M062,3x3,粉碎-砂叶,砂叶粉末,20,M133,6x4,研磨-致密蓝铁,是
C093,M062,3x3,粉碎-砂叶,砂叶粉末,20,M134,6x4,研磨-致密蓝铁,是
C094,M063,3x3,粉碎-砂叶,砂叶粉末,20,M135,6x4,研磨-致密蓝铁,是
C095,M063,3x3,粉碎-砂叶,砂叶粉末,20,M136,6x4,研磨-致密蓝铁,是
C096,M063,3x3,粉碎-砂叶,砂叶粉末,20,M137,6x4,研磨-致密源石,是
C097,M064,3x3,粉碎-砂叶,砂叶粉末,20,M138,6x4,研磨-致密源石,是
C098,M064,3x3,粉碎-砂叶,砂叶粉末,20,M139,6x4,研磨-致密源石,是
C099,M064,3x3,粉碎-砂叶,砂叶粉末,20,M140,6x4,研磨-致密源石,是
C100,M065,3x3,粉碎-砂叶,砂叶粉末,20,M141,6x4,研磨-致密源石,是
C101,M065,3x3,粉碎-砂叶,砂叶粉末,20,M142,6x4,研磨-致密源石,是
C102,M065,3x3,粉碎-砂叶,砂叶粉末,20,M143,6x4,研磨-致密源石,是
C103,M066,3x3,粉碎-砂叶,砂叶粉末,20,M144,6x4,研磨-致密源石,是
C104,M066,3x3,粉碎-砂叶,砂叶粉末,20,M145,6x4,研磨-致密源石,是
C105,M066,3x3,粉碎-砂叶,砂叶粉末,20,M146,6x4,研磨-细磨荞花,是
C106,M067,3x3,粉碎-砂叶,砂叶粉末,20,M147,6x4,研磨-细磨荞花,是
C107,M067,3x3,粉碎-砂叶,砂叶粉末,20,M148,6x4,研磨-细磨荞花,是
C108,M067,3x3,粉碎-砂叶,砂叶粉末,20,M149,6x4,研磨-细磨荞花,是
C109,M068,3x3,粉碎-砂叶,砂叶粉末,10,M150,6x4,研磨-细磨荞花,否
C110,M068,3x3,粉碎-砂叶,砂叶粉末,10,M150,6x4,研磨-细磨荞花,否
C111,M068,3x3,粉碎-砂叶,砂叶粉末,10,M151,6x4,研磨-细磨荞花,否
C112,M216,6x4,灌装-胶囊,精选荞愈胶囊,4,协议核心,,,否
C113,M217,6x4,灌装-胶囊,精选荞愈胶囊,4,协议核心,,,否
C114,M218,6x4,灌装-胶囊,精选荞愈胶囊,3,协议核心,,,否
C115,M146,6x4,研磨-细磨荞花,细磨荞花粉末,20,M216,6x4,灌装-胶囊,是
C116,M147,6x4,研磨-细磨荞花,细磨荞花粉末,20,M217,6x4,灌装-胶囊,是
C117,M148,6x4,研磨-细磨荞花,细磨荞花粉末,20,M218,6x4,灌装-胶囊,是
C118,M149,6x4,研磨-细磨荞花,细磨荞花粉末,20,M217,6x4,灌装-胶囊,是
C119,M150,6x4,研磨-细磨荞花,细磨荞花粉末,20,M216,6x4,灌装-胶囊,是
C120,M151,6x4,研磨-细磨荞花,细磨荞花粉末,10,M218,6x4,灌装-胶囊,否
C121,M137,6x4,研磨-致密源石,致密源石粉末,20,M213,6x4,封装-电池,是
C122,M138,6x4,研磨-致密源石,致密源石粉末,20,M214,6x4,封装-电池,是
C123,M139,6x4,研磨-致密源石,致密源石粉末,20,M215,6x4,封装-电池,是
C124,M140,6x4,研磨-致密源石,致密源石粉末,20,M215,6x4,封装-电池,是
C125,M141,6x4,研磨-致密源石,致密源石粉末,20,M214,6x4,封装-电池,是
C126,M142,6x4,研磨-致密源石,致密源石粉末,20,M213,6x4,封装-电池,是
C127,M143,6x4,研磨-致密源石,致密源石粉末,20,M213,6x4,封装-电池,是
C128,M144,6x4,研磨-致密源石,致密源石粉末,20,M214,6x4,封装-电池,是
C129,M145,6x4,研磨-致密源石,致密源石粉末,20,M215,6x4,封装-电池,是
C130,M120,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M103,3x3,精炼-致密蓝铁,是
C131,M121,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M104,3x3,精炼-致密蓝铁,是
C132,M122,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M105,3x3,精炼-致密蓝铁,是
C133,M123,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M106,3x3,精炼-致密蓝铁,是
C134,M124,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M107,3x3,精炼-致密蓝铁,是
C135,M125,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M108,3x3,精炼-致密蓝铁,是
C136,M126,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M109,3x3,精炼-致密蓝铁,是
C137,M127,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M110,3x3,精炼-致密蓝铁,是
C138,M128,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M111,3x3,精炼-致密蓝铁,是
C139,M129,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M112,3x3,精炼-致密蓝铁,是
C140,M130,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M113,3x3,精炼-致密蓝铁,是
C141,M131,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M114,3x3,精炼-致密蓝铁,是
C142,M132,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M115,3x3,精炼-致密蓝铁,是
C143,M133,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M116,3x3,精炼-致密蓝铁,是
C144,M134,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M117,3x3,精炼-致密蓝铁,是
C145,M135,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M118,3x3,精炼-致密蓝铁,是
