机器id,机型,配方,批次每20tick,存货通道数,取货通道数,存货通道速率,取货通道速率,扇出类别
M000,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M001,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M002,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M003,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M004,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M005,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M006,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M007,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M008,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M009,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M010,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M011,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M012,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M013,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M014,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M015,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M016,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M017,3x3,粉碎-源矿,20,1,1,源矿:20,源石粉末:20,单端口
M018,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M019,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M020,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M021,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M022,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M023,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M024,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M025,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M026,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M027,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M028,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M029,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M030,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M031,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M032,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M033,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M034,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M035,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M036,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M037,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M038,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M039,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M040,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M041,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M042,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M043,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M044,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M045,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M046,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M047,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M048,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M049,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M050,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M051,3x3,粉碎-蓝铁块,20,1,1,蓝铁块:20,蓝铁粉末:20,单端口
M052,3x3,粉碎-荞花,20,1,2,荞花:20,荞花粉末:20;荞花粉末:20,A 满速
M053,3x3,粉碎-荞花,20,1,2,荞花:20,荞花粉末:20;荞花粉末:20,A 满速
M054,3x3,粉碎-荞花,20,1,2,荞花:20,荞花粉末:20;荞花粉末:20,A 满速
M055,3x3,粉碎-荞花,20,1,2,荞花:20,荞花粉末:20;荞花粉末:20,A 满速
M056,3x3,粉碎-荞花,20,1,2,荞花:20,荞花粉末:20;荞花粉末:20,A 满速
M057,3x3,粉碎-荞花,10,1,1,荞花:10,荞花粉末:20,单端口
