机器	原始行	机型	配方	规则行	计划批次每tick	制造占时	面积	存通道数	取通道数	投入每tick	产出每tick	各存口速率	各取口速率
M000	2	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M001	3	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M002	4	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M003	5	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M004	6	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M005	7	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M006	8	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M007	9	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M008	10	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M009	11	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M010	12	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M011	13	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M012	14	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M013	15	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M014	16	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M015	17	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M016	18	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
