通道	原始行	源	目标	物品	计划每tick
C000	2	M000	M137	源石粉末	1
C001	3	M001	M138	源石粉末	1
C002	4	M002	M139	源石粉末	1
C003	5	M003	M140	源石粉末	1
C004	6	M004	M141	源石粉末	1
C005	7	M005	M142	源石粉末	1
C006	8	M006	M143	源石粉末	1
C007	9	M007	M144	源石粉末	1
C008	10	M008	M145	源石粉末	1
C009	11	M009	M145	源石粉末	1
C010	12	M010	M144	源石粉末	1
C011	13	M011	M143	源石粉末	1
C012	14	M012	M142	源石粉末	1
C013	15	M013	M141	源石粉末	1
C014	16	M014	M140	源石粉末	1
C015	17	M015	M139	源石粉末	1
C016	18	M016	M138	源石粉末	1
C017	19	M017	M137	源石粉末	1
C018	20	仓库出矿口	M000	源矿	1
C019	21	仓库出矿口	M001	源矿	1
C020	22	仓库出矿口	M002	源矿	1
C021	23	仓库出矿口	M003	源矿	1
C022	24	仓库出矿口	M004	源矿	1
C023	25	仓库出矿口	M005	源矿	1
C024	26	仓库出矿口	M006	源矿	1
C025	27	仓库出矿口	M007	源矿	1
C026	28	仓库出矿口	M008	源矿	1
C027	29	仓库出矿口	M009	源矿	1
C028	30	仓库出矿口	M010	源矿	1
C029	31	仓库出矿口	M011	源矿	1
C030	32	仓库出矿口	M012	源矿	1
C031	33	仓库出矿口	M013	源矿	1
C032	34	仓库出矿口	M014	源矿	1
C033	35	仓库出矿口	M015	源矿	1
C034	36	仓库出矿口	M016	源矿	1
C035	37	仓库出矿口	M017	源矿	1
C036	38	M175	M058	砂叶	1
C037	39	M176	M059	砂叶	1
C038	40	M177	M060	砂叶	1
C039	41	M178	M061	砂叶	1
C040	42	M179	M062	砂叶	1
C041	43	M180	M063	砂叶	1
C042	44	M181	M064	砂叶	1
C043	45	M182	M065	砂叶	1
C044	46	M183	M066	砂叶	1
C045	47	M184	M067	砂叶	1
C046	48	M185	M202	砂叶	1
C047	49	M186	M203	砂叶	1
C048	50	M187	M204	砂叶	1
C049	51	M188	M205	砂叶	1
C050	52	M189	M206	砂叶	1
C051	53	M190	M207	砂叶	1
C052	54	M191	M208	砂叶	1
C053	55	M192	M209	砂叶	1
C054	56	M193	M210	砂叶	1
C055	57	M194	M211	砂叶	1
C056	58	M195	M068	砂叶	1/2
C057	59	M195	M212	砂叶	1/2
C058	60	M202	M175	砂叶种子	1
C059	61	M202	M176	砂叶种子	1
C060	62	M203	M177	砂叶种子	1
C061	63	M203	M178	砂叶种子	1
C062	64	M204	M179	砂叶种子	1
C063	65	M204	M180	砂叶种子	1
C064	66	M205	M181	砂叶种子	1
C065	67	M205	M182	砂叶种子	1
C066	68	M206	M183	砂叶种子	1
C067	69	M206	M184	砂叶种子	1
C068	70	M207	M185	砂叶种子	1
C069	71	M207	M186	砂叶种子	1
C070	72	M208	M187	砂叶种子	1
C071	73	M208	M188	砂叶种子	1
C072	74	M209	M189	砂叶种子	1
C073	75	M209	M190	砂叶种子	1
C074	76	M210	M191	砂叶种子	1
C075	77	M210	M192	砂叶种子	1
C076	78	M211	M193	砂叶种子	1
C077	79	M211	M194	砂叶种子	1
C078	80	M212	M195	砂叶种子	1
C079	81	M058	M120	砂叶粉末	1
C080	82	M058	M121	砂叶粉末	1
C081	83	M058	M122	砂叶粉末	1
C082	84	M059	M123	砂叶粉末	1
C083	85	M059	M124	砂叶粉末	1
C084	86	M059	M125	砂叶粉末	1
C085	87	M060	M126	砂叶粉末	1
C086	88	M060	M127	砂叶粉末	1
C087	89	M060	M128	砂叶粉末	1
C088	90	M061	M129	砂叶粉末	1
C089	91	M061	M130	砂叶粉末	1
C090	92	M061	M131	砂叶粉末	1
C091	93	M062	M132	砂叶粉末	1
C092	94	M062	M133	砂叶粉末	1
C093	95	M062	M134	砂叶粉末	1
C094	96	M063	M135	砂叶粉末	1
C095	97	M063	M136	砂叶粉末	1
C096	98	M063	M137	砂叶粉末	1
C097	99	M064	M138	砂叶粉末	1
C098	100	M064	M139	砂叶粉末	1
C099	101	M064	M140	砂叶粉末	1
C100	102	M065	M141	砂叶粉末	1
C101	103	M065	M142	砂叶粉末	1
C102	104	M065	M143	砂叶粉末	1
